gsize_diff_an4,gf_diff_an4,f_fnn_diff_an4,fnnf_maxadec_l_m_r,dist_centroid_diff_l_an4
-67.631,    -9,-10.071,94.024,-0.789
-34.637,   -11,-12.080,-98.993,-0.581
-29.696,    -7,-10.325,-22.021,-0.380
-23.318,    -1,-1.705,-16.832,-0.342
-100.233,   -24,-27.444,11.018,-0.777
-58.713,   -24,-26.889,-150.590,-0.820
-6.890,     2, 4.233,-70.246,-0.101
10.549,     7, 5.633,-46.710, 0.257
-60.802,   -28,-35.073,185.209, 0.039
-47.227,   -19,-25.883,38.361,-0.392
-45.458,   -24,-30.214,185.209,-0.010
 6.724,    -1,-0.800,-79.632,-0.024
-64.935,   -15,-21.548,1765.484,-0.731
-5.119,    -1,-2.024,-89.587,-0.046
-4.628,     0, 2.667,39.036, 0.016
-103.772,   -35,-42.606,1765.484,-0.899
-18.205,    -2,-5.917,1097.654,-0.726
 7.829,    -3,-1.944,-896.228, 0.266
-20.602,    -6,-6.495,104.995, 0.073
 2.201,     2, 7.229,-114.108,-0.004
-109.628,   -20,-18.608,5223.410,-0.834
-2.814,    -1, 2.054,117.813,-0.140
-92.392,   -29,-31.044,5223.410,-0.037
-46.843,    -7,-3.429,533.602, 0.023
-21.743,    -6,-1.956,-34.872,-0.603
-11.797,    -7,-12.167,-1565.121, 0.016
-9.418,    -7,-13.013,-1690.763,-0.010
22.241,    12,14.359,-35.263,-0.035
26.832,    16,14.164,-295.907, 0.010
-21.437,    -6,-8.587,2209.870,-0.005
17.980,    14,19.375,126.917,-0.024
11.706,     9,12.491,394.658,-0.043
49.347,    20,20.908,-320.023, 0.000
-71.431,   -24,-27.325,532.768,-0.056
35.631,     7, 5.878,56.599, 0.019
-2.162,    -5,-7.788,40.664,-0.025
-25.604,    -9,-10.785,-32.347,-0.003
21.027,    14,18.508,-350.181,-0.027
55.650,    25,25.991,-56.186, 0.025
-27.640,   -13,-16.663,5175.378,-0.016
 5.810,     9, 6.141,4930.877, 0.025
28.575,    12,10.359,157.050, 0.006
40.066,    19,18.241,23.107, 0.003
34.934,    15,14.027,-344.869,-0.017
46.567,    19,22.541,-312.011, 0.005
31.755,     9, 9.191,304.688,-0.040
30.718,    14,17.041,540.231, 0.034
-10.010,     0,-3.483,4288.428,-0.021
47.230,    21,25.616,-660.333,-0.006
29.988,    15,16.384,49.895, 0.025
-93.837,   -29,-31.152,2857.140,-0.856
-7.059,    -2,-2.292,755.407,-0.145
-89.942,   -20,-20.359,5001.727,-0.810
 0.694,    -1,-0.952,-39.232,-0.126
-25.413,    -5,-6.121,1955.419,-0.122
-13.829,    -5,-8.865,104.035,-0.074
-86.536,   -46,-53.806,11691.162, 0.006
-33.081,    -7,-9.250,6602.178,-0.022
-27.453,   -13,-15.964,457.957, 0.038
13.796,     1,-2.250,-274.881, 0.023
-72.377,   -18,-23.942,11691.162,-0.741
-24.553,   -14,-17.247,498.634,-0.007
-5.147,    -2,-7.381,11.815, 0.186
-43.678,   -18,-22.946,2958.259,-0.026
-4.261,     2, 5.016,-317.855,-0.058
