move_left ,gV_diff_an4, gF_diff_an4 ,gFnnF_diff_an4, gMs_diff_an4, fMs_an4_left, FnnF_A_maxdec, FnnF_A_avgdec, FnnF_fMs_maxdec, FnnF_fMs_avgdec
     1, 95.651, 35.000, 50.452, 842.154, 85.322, 389.408, 369.325, -7.660, 47.775 
    -1, -32.973, -9.000, -13.564, -287.269, -5.973, 340.958, 290.646, 773.694, 416.954 
    -1, -15.668, -5.000, -10.133, -554.124,  6.974, 143.570, 116.001, 447.272, 71.792 
     1, -10.705, -2.000, -5.811, -241.008,  1.881, 612.672, 182.896, 347.207, 107.933 
     1, -12.358, -2.000, -6.400, 193.415, -2.154, 213.259, 156.612, 178.301, 115.624 
    -1, -40.176, -1.000, -5.273, -317.262, 22.041, 3861.800, 106.033, 598.835, -25.209 
     1, -23.019,  0.000, -0.375, 36.436, 10.872, 83.188, 124.916, 237.974, 24.892 
    -1, 47.365, 21.000, 26.789, 131.282,  0.870, -109.045, -90.639, 95.132, 101.884 
    -1, 10.878,  8.000, 11.026, -7.918,  0.000, -1296.491, -1296.491, -91.649, -91.649 
    -1,  1.946,  3.000,  2.306, -161.915, -16.952, -2.242, -247.680, -204.626, -36.664 
    -1, -31.450,  1.000,  8.456, 299.557,  0.471, -146.342, -581.723, -204.626, -101.357 
    -1, -8.930,  1.000, 17.231, -76.850, -2.681, 872.550, 489.678, 583.997, 148.256 
     1, 101.868, 77.000, 94.753, 1145.744,  4.668, -1637.659, -574.798, 285.065, 146.062 
     1, 40.355, 22.000, 34.059, 165.094, 61.292, -1442.480, -667.495, -61.812, -11.255 
     1, 166.141, 49.000, 66.521, 2133.214, -4.739, -1091.936, 948.622,  3.165, -57.294 
     1, 90.743, 31.000, 47.913, 1039.614, -43.063, 516.478, 646.568, 456.055, 98.334 
    -1, -1.825,  0.000,  5.154, -361.441, 28.918, -1347.449, -460.222,  3.165, -70.689 
     1, 166.103, 72.000, 89.725, 3842.555, -2.500, -1442.480, -223.800, 483.110, 99.342 
    -1, -28.298, -10.000, -1.103, -309.726,  5.605, 801.386, 314.526, -167.735, -108.595 
     1, 50.303, 26.000, 41.410, 560.866, 25.525, -1116.148, -274.697, 430.348, 133.263 
     1, -2.699, -10.000, -8.421, -118.890,  9.622, 3685.208, 1861.574, 61.825, 95.786 
     1, -21.911, -8.000, -11.293, -170.811, -0.388, 2681.786, 1120.696, -154.873, -60.417 
     1, -13.892, -12.000, -12.768, 70.073, 28.208, 3685.208, 1220.069, 61.825, -0.493 
     1, -51.258, -21.000, -29.143, -362.529, -51.886, 3671.471, 1552.067, -74.347, 37.341 
    -1, 73.718, 62.000, 67.379, 1056.571, 177.093, -490.295, 202.441, 277.641, 149.505 
     1, -49.501, -21.000, -29.143, -284.022, -17.594, 3667.078, 1184.295, 90.343, 124.078 
     1, 62.593, 16.000, 20.539, 950.441,  1.102, 2199.824, 584.845, 116.075, 175.157 
    -1, -52.288, -19.000, -30.365, -262.090, -9.784, 2942.814, 649.521, 184.457, 126.821 
     0, 137.954, 57.000, 62.351, 3753.382, 38.624, 1495.983, 361.395, 456.878, 254.688 
     1,  5.955, -4.000,  0.815, 322.091, -4.121, 3302.035, 1391.829,  3.669, 237.491 
     1, 13.022,  0.000,  1.833, -114.241,  1.255, -79.271, 294.060, -12.060, -38.238 
     1, 40.205, 10.000,  8.312, 186.164, -7.221, 41.542, 68.743, -220.444, -107.523 
     1, 124.640, 38.000, 40.682, 1145.524, 11.493, 179.468, 444.313, -272.409, -70.480 
     1, 24.611,  5.000,  0.545, -151.904,  1.179, 64.255, 333.826, -272.409, -260.401 
     1, 68.001, 18.000, 20.958, 517.174,  4.587, 19.261, 168.811, -100.311, -73.086 
     1, 10.947,  1.000,  2.714, -42.706, 21.873, -79.271, 56.639, -12.060,  0.915 
     0, 75.428, 21.000, 18.727, 649.229, -1.776, -180.480, -56.923, -278.290, -207.144 
     0, -3.360, -7.000, -10.431, 18.625,  0.000, -4.315, -33.803, 239.697, 1007.745 
     0, -21.759, -7.000, -6.892, -172.867,  9.525, 71.533, 128.795, 92.729, 99.907 
     0, -42.739, -17.000, -23.867, 66.351, -1.912, 218.395, 255.504, 167.865, 135.451 
     0, -8.268, -10.000, -17.600, -161.151,  7.042,  1.345, 29.651, -265.101, -169.370 
    -1, -12.005, -9.000, -13.564, 129.039, -8.021, 108.350, -8.202, -168.084, 521.780 
    -1, -10.723, -8.000, -8.117, -82.839, -23.555, 51.583, -15.804, 185.430, 61.583 
